fips,name,state,lat,lon,population
12005,12005,,30.1591402,-85.5343954,181384
12007,12007,,29.9523863,-82.1666983,27928
12009,12009,,28.2983112,-80.7003334,601573
12011,12011,,26.1935353,-80.4766834,1934551
12013,12013,,30.3888013,-85.1979155,13863
12015,12015,,26.9063964,-82.0036572,184837
12017,12017,,28.8502922,-82.5955524,151888
12019,12019,,29.9865835,-81.8650364,216308
12021,12021,,26.118786,-81.4009553,372797
12023,12023,,30.2216509,-82.6233712,69265
12027,12027,,27.1905809,-81.8062531,34027
12029,12029,,29.5526748,-83.2362319,16701
12031,12031,,30.3352449,-81.6481132,983153
12033,12033,,30.5299979,-87.3203222,318828
12035,12035,,29.4748909,-81.2862532,113888
12037,12037,,29.6777939,-84.8152135,12232
12039,12039,,30.5786866,-84.6126072,44233
12041,12041,,29.7234556,-82.7958011,17759
12043,12043,,26.9548102,-81.1908197,12183
12045,12045,,29.8592383,-85.2720125,15205
12047,12047,,30.4911868,-82.9510714,13973
12049,12049,,27.4928458,-81.8215798,25632
12051,12051,,26.539967,-81.1521142,39439
12053,12053,,28.5559951,-82.5259685,192128
12055,12055,,27.3410799,-81.3423534,101174
12057,12057,,27.8931535,-82.3799907,1444359
12059,12059,,30.8620072,-85.8159385,19622
12061,12061,,27.7005283,-80.5747894,158002
12063,12063,,30.7892485,-85.2088141,48067
12065,12065,,30.396898,-83.9217606,14405
12067,12067,,29.9900661,-83.1785097,8343
12069,12069,,28.7641128,-81.7122822,375059
12071,12071,,26.5632731,-81.9841817,752251
12073,12073,,30.4593104,-84.2778004,290965
12075,12075,,29.2718541,-82.831233,42392
12077,12077,,30.2598494,-84.8685805,7987
12079,12079,,30.4472325,-83.4704159,18051
12081,12081,,27.4755558,-82.3931438,394824
12083,12083,,29.2028047,-82.0431004,370372
12085,12085,,27.0836036,-80.3982011,158323
12086,12086,,25.6160085,-80.5037495,2690113
12087,12087,,25.5861198,-81.0226025,82244
12089,12089,,30.6059629,-81.7650867,88492
12091,12091,,30.6143245,-86.5910804,209230
12093,12093,,27.3855924,-80.8873884,39716
12095,12095,,28.5143906,-81.3232839,1409949
12097,12097,,28.0590267,-81.1393116,380331
12099,12099,,26.6491257,-80.4483542,1481233
12101,12101,,28.3098227,-82.5110062,551598
12103,12103,,27.9053425,-82.7980663,957989
12105,12105,,27.9536488,-81.6935336,713148
12107,12107,,29.5938964,-81.7320389,73147
12109,12109,,29.8904875,-81.4000404,265724
12111,12111,,27.3798137,-80.4435357,324599
12113,12113,,30.6753483,-87.0189188,184345
12115,12115,,27.2253265,-82.4237137,429336
12117,12117,,28.6900648,-81.1319751,467382
12119,12119,,28.7154442,-82.0699524,127335
12121,12121,,30.1892438,-82.9927542,43514
12123,12123,,29.967146,-83.6395729,21762
12125,12125,,30.0542796,-82.366918,16141
12127,12127,,29.057769,-81.161792,548783
12129,12129,,30.0913354,-84.3591114,33144
12131,12131,,30.5712465,-86.162798,73456
12133,12133,,30.6021017,-85.6558052,24906
13001,13001,,31.739712,-82.2901025,18509
13003,13003,,31.2968056,-82.8781511,8269
13005,13005,,31.5502095,-82.4514325,11163
13007,13007,,31.3195798,-84.4548812,2928
13009,13009,,33.0594897,-83.2554566,43876
13011,13011,,34.3519216,-83.4984409,18061
13013,13013,,33.9920094,-83.7123025,82138
13015,13015,,34.2409175,-84.8381879,107868
13017,13017,,31.7407715,-83.147197,17237
13019,13019,,31.2886522,-83.2278695,18195
13021,13021,,32.8088446,-83.6941941,156711
13023,13023,,32.4354034,-83.3317174,12562
13025,13025,,31.1973339,-81.9829779,18072
13027,13027,,30.8229337,-83.5819054,16254
13029,13029,,32.0179692,-81.4385431,43278
13031,13031,,32.3944811,-81.7416185,79635
13033,13033,,33.0601805,-82.0001638,24231
13035,13035,,33.2903551,-83.9582206,24950
13037,13037,,31.521279,-84.6262895,5668
13039,13039,,30.913358,-81.6420193,54256
13043,13043,,32.4039497,-82.0712656,10885
13045,13045,,33.5822366,-85.0805272,118402
13047,13047,,34.9002118,-85.1393851,67579
13049,13049,,30.7799036,-82.1396442,12416
13051,13051,,31.9804037,-81.085184,294815
13053,13053,,32.3474454,-84.7880206,9533
13055,13055,,34.4741785,-85.3452894,24898
13057,13057,,34.2443166,-84.4750574,262155
13059,13059,,33.9521852,-83.3671522,128195
13061,13061,,31.6198309,-84.9925826,2883
13063,13063,,33.5426863,-84.3555727,294335
13065,13065,,30.9176531,-82.7026143,6737
13067,13067,,33.9399286,-84.5741213,762500
13069,13069,,31.5492452,-82.8449401,43048
13071,13071,,31.1897075,-83.769773,45800
13073,13073,,33.5520746,-82.2496077,154274
13075,13075,,31.1525157,-83.4294448,17188
13077,13077,,33.3528965,-84.7621381,144928
13079,13079,,32.7094283,-83.9791874,12159
13081,13081,,31.9202675,-83.7565301,20524
13083,13083,,34.8524237,-85.5062006,16313
13085,13085,,34.4426077,-84.1732611,26202
13087,13087,,30.8806431,-84.5838902,29020
13089,13089,,33.7706611,-84.2263432,758634
13091,13091,,32.164369,-83.1678658,20089
13093,13093,,32.1519954,-83.807167,11546
13095,13095,,31.5325876,-84.20904,86825
13097,13097,,33.7012421,-84.7673139,143520
13099,13099,,31.3241906,-84.9067225,10813
13101,13101,,30.7140081,-82.8973758,3691
13103,13103,,32.361688,-81.3433553,63448
13105,13105,,34.1164153,-82.8418919,19453
13107,13107,,32.5910995,-82.2997628,22739
13109,13109,,32.1530834,-81.890153,10761
13111,13111,,34.8665427,-84.3173308,25198
13113,13113,,33.4127172,-84.4939407,117828
13115,13115,,34.2636918,-85.2136851,98210
13117,13117,,34.225143,-84.1274075,245754
13119,13119,,34.3752657,-83.2275325,23256
13121,13121,,33.7900338,-84.4681816,1054286
13123,13123,,34.6905055,-84.4546244,31047
13125,13125,,33.2274908,-82.6069126,2903
13127,13127,,31.2127098,-81.4964503,84373
13129,13129,,34.5096669,-84.8738622,57274
13131,13131,,30.8759076,-84.2450803,26076
13133,13133,,33.5767036,-83.1666253,18461
13135,13135,,33.9587564,-84.0257351,948505
13137,13137,,34.6343924,-83.5258749,45767
13139,13139,,34.3175689,-83.8184997,201703
13141,13141,,33.2692195,-83.0004653,8652
13143,13143,,33.7951646,-85.2200629,29685
13145,13145,,32.7315494,-84.912432,34316
13147,13147,,34.3487328,-82.96329,25808
13149,13149,,33.2913469,-85.1378862,11440
13151,13151,,33.4529466,-84.1540207,236615
13153,13153,,32.4582875,-83.6625217,161177
13155,13155,,31.6043062,-83.2770374,9615
13157,13157,,34.1309052,-83.5625568,73839
13159,13159,,33.3169807,-83.6891515,14478
13161,13161,,31.8116153,-82.6368248,14753
13163,13163,,33.0581756,-82.4200036,15708
